gene963	122	66	56
gene964	191	107	84
gene965	66	30	37
gene966	0	1	0
gene967	2	2	0
gene968	100	49	51
gene969	37	17	20
gene970	27	17	10
gene971	9	4	5
gene972	5	2	3
gene973	11	8	3
gene974	6	2	4
gene975	9	3	6
gene976	30	18	12
gene977	0	0	0
gene978	6	4	2
gene979	26	11	15
gene980	84	31	53
gene981	48	23	25
gene982	51	26	25
gene983	41	20	25
gene984	57	28	33
gene985	438	204	234
gene986	24	14	10
gene987	0	0	0
gene988	3	1	2
gene989	187	82	105
gene990	74	43	31
gene991	981	483	498
gene992	393	189	204
gene994	29	17	12
gene995	36	19	17
gene996	181	82	99
gene997	65	31	34
gene998	97	46	51
gene999	98	51	47
gene1000	40	20	20
gene1001	21	9	12
gene1002	277	137	140
gene1003	32	13	19
gene1004	11	3	8
gene1005	11	7	4
gene1006	43	20	23
gene1007	18	12	6
gene1008	73	34	39
gene1009	56	23	33
gene1010	8	3	5
gene1011	131	66	65
gene1012	76	34	42
gene1013	79	38	41
gene1014	17	4	13
gene1015	209	112	97
gene1016	63	24	39
gene1017	124	55	70
gene1018	75	45	31
gene1019	64	30	34
gene1020	37	19	18
gene1021	28	8	20
gene1022	40	23	17
gene1023	26	13	13
gene1024	24	12	12
gene1025	95	48	47
gene1026	777	379	398
gene1027	2	1	1
gene1028	221	109	112
gene1029	86	41	45
gene1030	24	12	12
gene1031	14	9	5
gene1032	116	53	68
gene1033	4	6	1
gene1034	9	4	5
gene1035	17	9	8
gene1036	173	100	95
gene1037	56	41	37
gene1038	35	14	21
