Gene	WT-1	WT-2	rhpS-1	rhpS-2
PSPPH_0687	161	212	116	48
tyrS	220	287	124	53
recC	61	104	41	10
recB	56	64	23	9
recD	28	43	11	6
PSPPH_0697	4	21	1	1
PSPPH_0698	20	15	8	1
PSPPH_0699	0	1	1	0
PSPPH_0700	32	57	16	7
ggt	72	109	13	6
PSPPH_0702	3	4	3	0
PSPPH_0703	6	8	0	0
PSPPH_0704	4	9	1	0
PSPPH_0705	16	24	5	0
PSPPH_0706	43	47	19	10
PSPPH_0708	5	22	4	1
PSPPH_0709	3	4	0	0
mdaB	9	12	5	0
PSPPH_0711	23	22	8	3
ispB	125	165	140	55
rplU	255	327	220	110
rpmA	100	154	56	48
PSPPH_0715	155	221	134	53
proB	247	282	88	69
PSPPH_0717	48	78	23	14
rpsT	71	108	132	56
mviN	36	66	21	5
ribF	147	193	63	40
ileS	944	1180	215	92
lspA	69	92	22	8
PSPPH_0723	77	113	25	14
ispH	117	155	67	27
PSPPH_0725	14	13	8	6
PSPPH_0726	20	33	14	1
PSPPH_0727	13	9	1	0
PSPPH_0728	18	29	19	13
PSPPH_0729	5	16	4	3
PSPPH_0730	87	194	46	20
PSPPH_0731	29	54	19	9
thiO	77	103	57	20
PSPPH_0733	28	47	8	5
PSPPH_0734	7	17	3	3
PSPPH_0735	27	35	15	7
pilR	39	59	51	24
pilS	13	27	9	5
PSPPH_0738	7	18	10	7
comL	262	365	131	58
sfhB	99	115	41	18
PSPPH_0741	32	37	1	1
clpB2	2384	3139	741	328
PSPPH_0747	21	45	45	22
PSPPH_0748	1	1	0	0
PSPPH_0749	2	21	7	2
PSPPH_0750	2	17	3	0
PSPPH_0751	29	158	8	2
PSPPH_0752	12	36	1	3
PSPPH_0753	18	121	9	14
PSPPH_0755	44	87	34	15
PSPPH_0756	124	191	39	14
PSPPH_0757	17	35	21	5
PSPPH_0758	28	40	20	6
PSPPH_0759	3	12	5	0
PSPPH_0760	3	21	3	3
PSPPH_0761	3	8	1	2
PSPPH_0762	49	73	19	11
hopAJ1	118	191	51	17
hopAT1	47	62	29	17
dksA1	85	119	67	39
PSPPH_0765	18	34	20	10
hopG1	50	144	38	16
PSPPH_0768	4	10	4	3
PSPPH_0769	3	11	0	0
PSPPH_0770	29	122	4	4
PSPPH_0771	2	31	0	1
PSPPH_0772	0	11	1	0
PSPPH_0774	3	35	3	1
PSPPH_0775	6	48	6	2
PSPPH_0776	0	3	0	0
PSPPH_0777	1	89	2	3
PSPPH_0778	118	224	107	63
PSPPH_0780	246	343	124	74
PSPPH_0781	367	490	227	88
PSPPH_0782	47	59	75	21
PSPPH_0783	6	9	5	0
avrB4-2	5	37	9	1
PSPPH_0786	1	1	0	1
PSPPH_0787	2	2	1	0
PSPPH_0788	2	4	3	0
PSPPH_0790	14	63	6	4
PSPPH_0791	6	25	2	1
PSPPH_0792	1	10	0	0
PSPPH_0793	8	20	3	0
PSPPH_0794	9	27	3	3
PSPPH_0795	3	15	5	3
PSPPH_0796	15	28	17	3
PSPPH_0797	2	10	0	0
PSPPH_0798	4	7	1	1
PSPPH_0799	2	6	3	0
cheB1	6	24	4	6
cheD	1	15	5	0
cheR1	8	10	4	1
cheW1	14	13	1	2
PSPPH_0804	36	37	21	3
cheA1	18	55	16	4
